id,created_at,updated_at,uuid,ticket_system_id,gender,city,state,company_segment,position,position_level
1,2025-01-06 21:47:02+00,2025-01-06 21:47:02+00,3e16af0e-38ca-448b-acc5-110e29524584,18880158,M,Curitiba,Paraná,Freelancer/Autônomo,Arquiteto(a) de software,Principal
2,2025-03-07 18:17:05.565+00,2025-03-07 18:17:05.565+00,34662981-4efd-4de6-8255-9fb004179640,19335901,M,Curitiba,Paraná,Startup,Desenvolvedor(a) back-end,Junior
189,2025-01-07 12:52:01+00,2025-07-03 22:05:14.193+00,225b9f21-7f31-40b8-907f-3ee863c8952e,14069991,F,Bauru,São Paulo,Software house,Desenvolvedor(a) front-end,Pleno
190,2025-01-07 13:17:01+00,2025-01-07 13:17:01+00,3edbc5cb-ab3e-4146-a06f-2e070f775e70,15156244,M,Joinville,Santa Catarina,,,
191,2025-01-07 13:22:01+00,2025-06-27 19:30:43.954+00,f4b5c55a-038b-4077-b0b5-3eea0b97c235,15100327,M,Joinville,Santa Catarina,,Arquiteto(a) de software,
192,2025-01-07 13:22:06+00,2025-01-07 13:22:06+00,d26607f7-ef77-485a-bd75-0aca4b59e93f,16169239,M,Porto Alegre,Rio Grande do Sul,Startup,Desenvolvedor(a) full-stack,Pleno
193,2025-01-07 13:22:06+00,2025-01-07 13:22:06+00,41a54eec-5a0b-4200-93fb-4d6083a013a4,14489076,M,Joinville,Santa Catarina,,,
194,2025-01-07 13:27:00+00,2025-07-17 20:30:37.966+00,4724dfd4-7c48-4778-aa17-6b9948a8f123,15991895,F,,,,Desenvolvedor(a) mobile,Junior
195,2025-01-07 13:27:00+00,2025-01-07 13:27:00+00,780e7b81-14b1-4df2-b909-ad5aedfa959a,13577360,M,Joinville,Santa Catarina,,Engineering manager,
196,2025-01-07 13:27:00+00,2025-06-23 17:59:20.461+00,b4a0407a-f22c-42df-b5df-a475e24b7118,15932159,F,Joinville,Santa Catarina,,Estudante,Não sei dizer
197,2025-01-07 13:32:01+00,2025-01-07 13:32:01+00,ddb616a2-b659-4841-81e6-1d230b55e409,18993445,F,Joinville,Santa Catarina,,Analista de dados / business,Sênior
198,2025-01-07 13:42:00+00,2025-01-07 13:42:00+00,9d35545b-1179-4070-9f53-555e96546a93,4302108,M,Joinville,Santa Catarina,,Estudante,Estagiário
199,2025-01-07 13:47:01+00,2025-01-07 13:47:01+00,8a3ac66f-5237-4980-a4e6-8599f587f087,12502747,M,Joinville,Santa Catarina,,Desenvolvedor(a) full-stack,Estagiário
200,2025-01-07 13:57:01+00,2025-01-07 13:57:01+00,e829b5b0-1eb7-4319-9634-abe9142bcebc,18993540,M,Joinville,Santa Catarina,,Desenvolvedor(a) full-stack,Pleno
201,2025-01-07 14:12:01+00,2025-01-07 14:12:01+00,36f3036c-7907-41a6-80c0-1d8091a811d0,18993583,F,Joinville,Santa Catarina,,,
202,2025-01-07 14:12:01+00,2025-01-07 14:12:01+00,5fa0b874-9d1f-4d9a-865d-84972fb7c25b,5949897,M,,,,,
203,2025-01-07 14:12:06+00,2025-05-17 21:54:37.884+00,17bc0f75-7499-4240-9d9b-e5b61a084930,14830602,F,Joinville,Santa Catarina,,,
204,2025-01-07 14:22:01+00,2025-01-07 14:22:01+00,938fb2a9-3d47-48d1-bae0-3a3d40b1c0aa,18993613,M,Joinville,Santa Catarina,,,
205,2025-01-07 14:22:01+00,2025-01-07 14:22:01+00,c7665ff1-744f-45e7-89d7-b9bb14a2a4ff,15070895,F,Joinville,Santa Catarina,,,
206,2025-01-07 14:37:05+00,2025-01-07 14:37:05+00,2e7c25fb-19dd-4a1b-be80-63c59bc356ef,16482760,F,Schroeder,Santa Catarina,,Desenvolvedor(a) full-stack,Junior
207,2025-01-07 15:17:05+00,2025-01-07 15:17:05+00,4e389dbb-5239-4b58-919c-5d7b8237a976,18993792,M,SP,São Paulo,,,
208,2025-01-07 16:02:05+00,2025-01-07 16:02:05+00,9d1ec409-d423-43af-b2d3-43c87bfa51ff,14070323,M,Joinville,Santa Catarina,,Desenvolvedor(a) back-end,Junior
209,2025-01-07 16:27:05+00,2025-01-15 20:03:23+00,b1fd8fa2-5148-4c0a-8478-076fd4c374a7,13730190,M,Joinville,Santa Catarina,,Arquiteto(a) de software,Sênior
210,2025-01-07 18:37:05+00,2025-01-07 18:37:05+00,24af20ff-ad52-49a0-afbe-ce3a0928f69b,16294629,F,Joinville,Santa Catarina,,,
211,2025-01-07 21:22:05+00,2025-01-07 21:22:05+00,9367345a-dc48-4d17-9446-087a544d3781,15963171,M,Joinville,Santa Catarina,,,
212,2025-01-08 00:02:05+00,2025-01-08 00:02:05+00,9b909842-cbf4-405b-9d54-5e8d100894a5,18995241,M,Joinville,Santa Catarina,,,
213,2025-01-08 01:57:05+00,2025-01-08 01:57:05+00,0a9a0b7d-0a73-4740-88f1-963ac96aca96,18604013,M,Joinville,Santa Catarina,,Outro,Pleno
214,2025-01-08 12:02:25+00,2025-07-16 19:49:21.074+00,b88bbd3e-aa0f-4d4a-aa53-a531cfcbb863,15176893,M,Joinville,Santa Catarina,,Desenvolvedor(a) back-end,Sênior
